name,player_positions,overall,potential,age,height,country
I. Jakobs,"LB, LM",75,78,25,184,Senegal
G. Read,"RB, RM",75,88,19,183,Netherlands
M. Ducksch,"ST, CAM",76,76,31,188,Germany
Pol Lozano,"CDM, CM",75,78,25,177,Spain
A. Mehmeti,"LM, LW, CAM",72,77,24,180,Albania
M. Honsak,"LM, LW, ST",74,74,28,188,Austria
J. Clark,"CM, CAM",71,71,31,176,England
K. Asllani,"CDM, CM",74,79,23,179,Albania
M. López,"LB, LM",71,74,25,175,Peru
J. Aramburu,"RB, RM",77,85,22,176,Venezuela
T. van de Looi,"CDM, CM, CB",69,74,25,186,Netherlands
W. Swedberg,"LW, CM, LM",74,81,21,187,Sweden
A. Bobichon,"CM, CAM, CDM",68,68,29,178,France
Jota,"LW, RW, LM",77,78,26,175,Portugal
M. Uzuni,"ST, LW, LM",75,75,30,178,Albania
Nico Paz,"CAM, CM",79,89,20,186,Argentina
Edval Anton,"CDM, CM, CAM",74,74,29,183,Brazil
Afonso Sousa,"CAM, CM",74,76,25,174,Portugal
T. Palacios,"RM, CAM, RW",75,81,24,167,Uruguay
Martim Fernandes,"RB, RM",75,85,19,181,Portugal
A. Cresswell,"CB, LB, LM",73,73,35,175,England
O. Niang,"LM, LB",70,75,23,168,Senegal
F. Kainz,"CAM, CM, LM",74,74,32,176,Austria
A. Yarmolenko,"RM, ST, LW, RW",73,73,35,189,Ukraine
D. Odoi,"CDM, RB, CB, RM",70,70,37,178,Ghana
Á. Nagy,"CM, CDM, CB",70,70,30,178,Hungary
H. De La Fuente,"RB, RM",71,71,28,177,Argentina
E. Sarić,"CM, CDM",71,71,34,181,Bosnia and Herzegovina
T. Lawrence,"CAM, LM, CM",72,72,31,180,Wales
S. El Karouani,"LB, LM",75,79,24,178,Morocco
M. Saliakas,"RB, RM, RW",73,73,28,177,Greece
J. Balkovec,"LB, CB",71,71,30,185,Slovenia
G. Gaetano,"CAM, CM",74,77,25,180,Italy
K. Bare,"CDM, CM",73,74,27,174,Albania
C. Melgar,"CM, LW, RW, CAM",69,69,30,170,Bolivia
M. Maertens,"CAM, ST, CM",69,69,30,185,Belgium
T. Akimoto,"LB, LM, LW",69,69,27,170,Japan
T. Sakamoto,"RM, RW",72,72,28,170,Japan
K. Itakura,"CB, CDM",77,78,28,188,Japan
M. Eskihellaç,"LB, LM, RM",72,72,28,175,Turkiye
J. Méndez,"CM, CDM",69,69,28,178,Argentina
M. Doumbia,"CDM, CAM, CM",68,80,21,186,Mali
Y. Maleh,CM,71,72,26,177,Morocco
Y. Bisseck,CB,76,80,24,196,Germany
K. Fitz-Jim,"CM, CAM",73,82,21,174,Netherlands
J. McClean,"LB, LM",68,68,36,180,Republic of Ireland
A. Herrera,"RB, RM",70,70,26,178,Argentina
N. Okafor,"ST, LM, LW, CAM",76,79,25,185,Switzerland
E. Karzev,"CDM, CM",69,73,25,186,Israel
Viti Rozada,"RB, RM",73,73,27,171,Spain
L. Tempelmann,"CM, CAM",71,73,26,175,Germany
M. Vitális,CM,69,78,23,179,Hungary
A. Milambo,"CM, CAM",73,85,20,179,Netherlands
J. Bryan,"LB, LM",70,70,31,173,England
E. Copetti,"ST, CAM, CM",72,72,29,180,Argentina
M. Bird,"CM, CAM, CDM",73,77,24,183,England
G. Suazo,"LB, LM",74,74,27,178,Chile
G. Zappa,"RB, CB, RM",74,77,25,183,Italy
Morci,"LM, LW",71,71,26,183,Spain
C. Stengs,"CAM, CM",76,78,26,187,Netherlands
A. Dobre,"RW, LW, RM",72,72,26,178,Romania
L. González,"CM, CDM, CAM",71,76,25,169,Argentina
Y. Asprilla,"RM, RW, CAM",75,82,21,175,Colombia
Elton Coengo,"CM, CDM",67,67,25,181,Brazil
N. Bustos,"ST, CAM, CM",73,74,26,176,Argentina
R. Yates,"CDM, CM",77,78,27,190,England
Fábio Silva,"ST, LW",79,85,22,185,Portugal
J. Ramírez,"CM, LM, CAM",70,70,32,174,Argentina
K. Palmer,"CAM, CM, ST",70,70,28,181,Jamaica
I. Touré,"RM, RB",71,71,27,188,Germany
J. Steuckers,"RM, RW",75,82,23,179,Belgium
Aihen Muñoz,"LB, LM",75,75,27,175,Spain
E. Lira,"CDM, CM, CB",73,80,25,170,Mexico
E. Bonifacio,"RB, RM, LB",70,70,31,170,Argentina
N. Fernández,"ST, RM, RW",75,75,29,166,Argentina
P. Gerkens,"CM, LM, LW",69,69,30,179,Belgium
M. Ritchie,"RW, RM, LM",67,67,35,172,Scotland
D. Zapata,ST,82,82,34,188,Colombia
P. Nebel,"CAM, CM, RM",78,85,22,169,Germany
J. Florentín,"CM, CDM",71,71,28,184,Paraguay
Damián Rodríguez,"CM, CDM, CAM",73,79,22,180,Spain
Aldasoro,"CDM, CM, CAM",70,75,26,176,Spain
K. Sabbe,"RB, LB, RM",71,84,20,172,Belgium
I. Tapia,"CAM, CM",71,74,26,179,Argentina
Melendo,"CM, RM, CAM, RW",71,71,27,167,Spain
T. Parrott,ST,74,80,23,185,Republic of Ireland
I. Sissoko,"CDM, CM",76,77,27,193,Mali
R. Bellanova,"RM, RB",78,79,25,188,Italy
V. Froholdt,"CM, CDM, CAM",71,82,19,180,Denmark
F. Grillitsch,"CM, CB, CDM",75,75,29,187,Austria
A. Schäfer,"CM, CAM",74,77,26,178,Hungary
D. Spence,"RB, LB, RM",78,82,24,184,England
S. Iling-Junior,"LM, LB, LW",74,82,21,182,England
Y. Yarmoliuk,"CM, CDM",71,78,21,180,Ukraine
J. Sánchez,"RB, RM",73,74,27,175,Mexico
J. Cabrera,"RM, RW, LM",72,72,33,173,Uruguay
Lucas Pires,"LB, LM",74,78,24,182,Brazil
Vako,"LM, ST, LW",74,74,32,175,Georgia
R. van Wolfswinkel,"ST, RM, RW",73,73,36,186,Netherlands
J. Sheehan,"CDM, CM, CB",68,68,30,172,Wales
D. Vanzeir,"ST, CAM",72,73,27,175,Belgium
E. Sobol,"LB, LM",69,69,30,186,Ukraine
Carlos Mané,"LM, RW, RM, LB",73,73,31,173,Guinea-Bissau
J. Kenny,"RB, RM",72,72,28,176,England
M. Andersen,"CM, CDM, CAM",70,71,26,170,Denmark
J. Hendrix,"CDM, CM, CB",72,72,30,182,Netherlands
J. Makengo,"CM, CDM",69,70,27,177,France
R. Huescas,"RB, RM",72,80,21,174,Mexico
N. Røjkjær,CM,72,73,26,179,Denmark
T. Tessmann,"CDM, CM",75,81,23,188,United States
J. Larsen,"RB, CB, RM",72,72,34,180,Denmark
J. Doku,"LW, RW, LM",80,85,23,173,Belgium
A. Verschueren,"CAM, CM",70,70,28,184,Belgium
D. Foulquier,"RB, LB, RM",74,74,32,183,France
Paulo Azzi,"LB, LM",71,71,30,189,Brazil
Germano Monico,CM,71,71,33,168,Brazil
S. Greenwood,"CAM, ST, LM, CM",70,75,23,180,England
S. Lainer,"RB, RM",71,71,32,175,Austria
G. Simeone,ST,75,75,29,181,Argentina
P. Strand,"CM, RM, RW",67,67,30,177,Norway
M. Berisha,ST,75,75,27,188,Germany
M. Ishak,ST,74,74,32,184,Sweden
J. Doig,"LB, LM",73,78,23,189,Scotland
L. Boyé,"ST, CAM",73,73,29,183,Argentina
Ramón da Almeyda,"LB, CM, LM",74,74,29,178,Brazil
Leôncio Vimieiro,"LB, LM",75,75,29,168,Brazil
M. Udol,"CB, LB, LM",74,74,29,178,France
A. Bouaddi,"CM, CDM",75,86,17,186,France
J. Jønsson,"CDM, CM",73,73,32,183,Denmark
Hugo Rubiães,"CDM, RB, CM",72,72,29,175,Brazil
E. Smith,"CDM, CM, CB",75,76,28,192,Sweden
T. Bayramov,"LB, RB, CB, LM",69,75,24,185,Azerbaijan
S. Charles,"CM, CDM",72,82,21,189,Northern Ireland
O. Rosengren,"CM, CDM",71,79,22,178,Sweden
O. Rathbone,"CM, CAM",69,69,28,176,England
M. Sepúlveda,"LB, CM, LM",69,72,26,179,Chile
Hugo Rincón,"RB, RM",73,81,22,183,Spain
Ailtio Coelho,"LM, LW",74,74,29,176,Brazil
L. Holtby,"CM, CDM, CAM",70,70,34,176,Germany
Guilson Paiva,"RM, RW",78,78,29,173,Brazil
S. Lauper,"CB, CDM, CM",70,70,28,185,Switzerland
Borja Mayoral,ST,77,77,28,182,Spain
Rafa Soares,"LB, LM",70,70,30,177,Portugal
L. Miller,"CM, CDM, CAM, CB",71,85,18,182,Scotland
D. Suárez,"RB, RM",69,69,37,173,Uruguay
J. Hove,"CM, CAM, RM",69,72,24,177,Norway
F. Di Mariano,"RM, RW, LM",71,71,29,177,Italy
M. Mehlem,"CM, CAM",72,72,27,176,Germany
A. Polo,"RM, RW",72,72,30,174,Peru
D. Lainez,"RM, CAM, RW",76,77,25,168,Mexico
Silas,"RM, RW, ST",74,75,26,189,Congo DR
D. Pelkas,"CAM, RM, LM, CM",72,72,31,177,Greece
W. Weghorst,ST,78,78,32,197,Netherlands
M. Coulibaly,CM,67,68,26,183,Senegal
N. Lavanchy,"RB, RM",70,70,31,174,Switzerland
I. Sulemana,"CDM, CM",71,80,22,180,Ghana
G. Kanichowsky,CM,71,71,27,165,Israel
Y. Kayan,"CM, CDM, CAM",69,72,26,180,Turkiye
W. Saliba,CB,87,89,24,193,France
F. Medina,"CB, LB, LM",79,83,26,184,Argentina
A. Morelos,ST,75,75,29,177,Colombia
P. Wszołek,"RB, RM",70,70,33,186,Poland
Hugo Álvarez,"LM, RM, LW",76,82,21,176,Spain
M. Brunori,"ST, CAM",73,73,30,180,Italy
Claudio Coíntra,"CAM, CM",77,77,29,174,Brazil
M. Del Blanco,"LB, CM, LM",71,82,21,170,Argentina
M. Rojo,CB,75,75,35,186,Argentina
J. Brimmer,"CM, CAM, CDM",66,67,27,169,Malta
D. Haspolat,"CDM, CM",74,80,25,177,Turkiye
M. Isla,"RB, RM",71,71,37,176,Chile
J. Allen,"CM, CAM, CDM",68,68,30,170,England
G. Berterame,"ST, LW",78,81,26,178,Mexico
W. Montoya,"CM, CDM, RM",69,69,31,173,Argentina
R. Pukštas,"CM, CAM",68,78,20,181,United States
İ. Köybaşı,"LB, LM",67,67,35,179,Turkiye
A. Hamdallah,"ST, CAM",79,79,34,179,Morocco
J. King,"ST, LM, LW",74,74,33,184,Norway
F. Cervi,"LM, LW",74,74,31,166,Argentina
J. Concha,"CM, CDM, CAM",72,75,26,175,Peru
W. Anton,CB,82,82,28,189,Germany
Gorrotxa,"CDM, CM",73,81,23,177,Spain
A. Nwakaeme,"LM, ST, LW",74,74,36,185,Nigeria
G. Dzhikiya,CB,73,73,31,188,Russia
E. Kroupi,ST,74,85,19,179,France
K. Volland,"ST, CAM",70,70,32,179,Germany
Stoichkov,"ST, CAM, LM",71,71,31,178,Spain
C. Doucouré,"CDM, CM",77,80,25,180,Mali
L. Nmecha,ST,76,77,26,185,Germany
K. Onisiwo,ST,72,72,33,188,Austria
D. Bojanić,"CM, CDM",73,73,30,183,Sweden
L. Štulac,"CDM, CM",68,68,30,175,Slovenia
Carles Gil,"CAM, RM, CM",79,79,32,170,Spain
L. O'Brien,"CM, CDM, CB",72,75,26,173,England
Borja Sainz,"LW, LM",75,81,24,178,Spain
Vesga,"CDM, CM",74,74,32,191,Spain
T. Chalobah,"CB, RB, RM",79,82,25,192,England
C. Huerta,"LW, LM, RW",73,77,24,171,Mexico
Arturo Inálcio,"CM, CAM",78,78,25,170,Brazil
O. Wijndal,"LB, LM",72,76,25,176,Netherlands
T. Ducrocq,"CDM, CM",70,75,25,176,France
Pol Lirola,"RB, CB",73,73,27,183,Spain
Song Min Kyu,"LM, LW, ST",70,71,25,179,Korea Republic
K. Van Den Kerkhof,"RM, RB",70,70,29,190,Algeria
M. Tel,"ST, LW, CAM",77,86,20,183,France
D. Tijanić,"CAM, CM, ST",71,71,27,174,Slovenia
Hugo Sotelo,"CM, CDM",73,79,21,180,Spain
A. Smith,"RB, RM",73,73,34,180,England
P. Ankersen,"RB, RM",68,68,34,179,Denmark
T. Deniz,"CDM, CM, CAM",67,67,31,182,Germany
M. Ellertsson,"CM, LM, LB, CAM",69,76,23,182,Iceland
A. Djiku,"CB, CDM",77,77,30,182,Ghana
N. Irankunda,"RM, ST, LM, RW",67,82,19,175,Australia
A. Zendejas,"RM, RW, LM",76,76,27,165,United States
G. Kastanos,"CAM, CM",72,72,27,179,Cyprus
C. Souaré,"LM, LB, LW",71,76,22,179,France
K. Sano,"CDM, LM, CM",71,82,21,176,Japan
E. Forsberg,"CAM, LM, CM",79,79,33,177,Sweden
B. Lennon,"RB, RM",70,71,27,177,United States
G. Rodríguez,"CDM, CM",77,77,31,185,Argentina
L. Walsh,"CM, CDM, CAM, CB",69,69,27,168,England
Gonzalo Villar,"CM, CDM, CAM",72,73,27,181,Spain
L. Rodríguez,"RW, RM, ST",74,86,21,179,Uruguay
K. Despodov,"RW, RM, LM",77,77,28,180,Bulgaria
A. Gigović,"CM, CAM",72,79,23,187,Bosnia and Herzegovina
C. Ejuke,"LM, RM, LW",78,78,27,176,Nigeria
M. Abline,"ST, RW, RM",76,82,22,182,France
R. Araujo,"CB, RB",83,86,26,188,Uruguay
G. Ávalos,"ST, CAM",75,75,34,188,Paraguay
R. Fellhauer,"CDM, CM",73,75,27,182,Germany
J. Paintsil,"LM, RM, LW",76,76,27,169,Ghana
A. Jung,"CB, LB, LM",72,72,33,185,Germany
Álex Calatrava,"RM, CM, RW",71,74,25,175,Spain
A. Buongiorno,CB,82,86,26,190,Italy
Pubill,"RB, RM",73,82,22,190,Spain
C. Ronan,"CDM, CM",69,70,27,170,Republic of Ireland
M. Olivera,LB,78,78,27,184,Uruguay
A. Chipciu,"LB, LM, RB",69,69,36,176,Romania
Hugo Guillamón,"CM, CDM, CB",72,77,25,178,Spain
D. Sidibé,"CB, RB, RM",74,74,32,183,France
G. Mensah,"LB, LM",74,75,26,178,Ghana
C. Domínguez,"LM, RM, ST, LW",73,73,30,179,Paraguay
U. Sánchez,"RM, CM, RW",73,73,27,169,Argentina
Erik,"LB, LM",73,79,24,172,United Arab Emirates
J. Onana,"CM, CDM",71,74,25,189,Cameroon
L. Abada,"RM, RW, LM",74,79,23,168,Israel
E. Jelert,"RB, LB, RM",73,78,22,170,Denmark
B. Raman,"ST, RM, RW",73,73,30,172,Belgium
A. Gallo,"LB, LM",75,78,25,183,Italy
R. Murawski,"CDM, CM",70,70,31,173,Poland
F. Farías,"ST, CAM",72,79,22,171,Argentina
J. Larsson,"RB, RM",66,66,35,182,Sweden
A. Cicâldău,"CAM, CM",68,68,27,178,Romania
A. Maier,"CM, RM, CDM, CAM",74,76,26,187,Germany
L. Godoy,"RB, RM",74,74,30,173,Argentina
T. Noslin,"ST, RM, LM, RW",74,77,25,178,Netherlands
Iñigo Vicente,"LM, CAM, LW",75,75,27,178,Spain
J. Bogle,"RB, RM",75,79,24,178,England
A. Mille,"CAM, CM, ST",69,69,27,181,France
M. Hartel,"CM, CAM, LM",75,75,29,177,Germany
João Mendes,"CAM, LW, CM",73,73,30,183,Portugal
K. Tete,"RB, RM",77,77,29,180,Netherlands
Álex Pozo,"RB, RM",71,74,26,173,Spain
L. Assignon,"RB, RM, RW",76,80,25,181,France
A. Sima,"LM, LW",74,79,24,188,Senegal
K. Grosicki,"LM, LW",74,74,37,180,Poland
A. Makoumbou,"CDM, CM",73,76,26,185,Congo
J. Hoilett,"LM, RM, CAM, LW",69,69,35,174,Canada
C. Bassey,CB,78,81,25,185,Nigeria
Endrick,"ST, RW",77,91,18,173,Brazil
T. Foket,"RB, RM",69,69,30,178,Belgium
A. Trezza,"RM, LM, ST, RW",71,72,26,166,Uruguay
M. Castagnetti,"CDM, CM",70,70,35,180,Italy
G. Giménez,"CDM, CM",70,70,33,188,Paraguay
Y. Barbet,CB,70,70,32,187,France
M. Crooks,"CAM, CM",69,69,31,192,England
B. Gilmour,"CM, CDM",74,79,24,170,Scotland
A. Kalimuendo,ST,78,82,23,178,France
T. Fernández,"LM, LW",74,82,21,175,Argentina
G. Doué,"RB, CB, RM",77,82,22,187,Côte d'Ivoire
N. Tella,"RM, ST, CAM, RW",78,79,25,173,Nigeria
I. Bayesh,"LM, RM, ST, LW",68,71,25,177,Iraq
D. Jones,"LB, LM, RM",71,71,28,180,United States
S. Castro,ST,76,84,20,182,Argentina
T. Dele-Bashiru,"CM, CDM",70,73,25,178,Nigeria
J. Kitolano,"CM, CDM",69,76,23,170,Norway
A. Jašić,"RB, RM",71,77,22,178,Austria
P. Capelle,"CDM, CM",70,70,38,181,France
Denis Suárez,"CM, LM, CAM, LW",74,74,31,176,Spain
O. Brynhildsen,ST,70,73,26,175,Norway
D. Rubio,"ST, CAM",69,69,32,180,Chile
S. Posch,"RB, RM",79,79,28,190,Austria
F. Mancuello,"CAM, CM, CDM",72,72,36,178,Argentina
Manu García,"CAM, CM, LM",74,75,27,169,Spain
L. Bertone,"CDM, CM",69,69,31,179,Switzerland
L. Koutris,LB,70,70,29,175,Greece
N. Eliasson,"RM, LM, RW",76,76,29,177,Sweden
F. Lejeune,CB,78,78,34,190,France
F. Bjørkan,"LB, LM",74,75,26,180,Norway
G. Raspadori,"ST, CAM, LW",78,81,25,172,Italy
T. Stepanenko,"CDM, CM",73,73,35,181,Ukraine
B. Cufré,"LB, LM, LW",68,68,28,178,Argentina
F. Maouassa,"LB, LM",69,70,26,170,France
B. Hollerbach,"ST, CAM, LM",77,82,24,180,Germany
A. Ndiaye,"LM, RM, ST, LW",72,72,28,173,Senegal
J. Otero,"ST, RM, CAM",73,73,30,182,Colombia
Luisinho Conradi,"LB, LM",71,71,25,174,Brazil
J. Chávez,"LB, LM",72,78,23,182,Ecuador
H. Van Der Bruggen,"CM, CDM, CB",70,70,32,181,Belgium
N. Aguerd,CB,81,82,29,190,Morocco
B. Diakité,CB,79,84,24,184,France
E. Cabrera,"CAM, LM, ST, CM",68,76,22,172,Argentina
J. Mišić,"CDM, CM",70,70,31,187,Croatia
A. Gaaei,"RB, RM",72,79,22,183,Denmark
I. Louza,"CM, CDM",73,75,26,178,Morocco
L. Agoumé,"CDM, CM, CB",75,83,23,188,France
C. Jander,"CM, CAM, CDM",73,82,22,183,Germany
D. Upamecano,CB,85,88,26,186,France
K. Haugen,"LB, LM",71,71,31,188,Norway
L. Ramazani,"LM, RM, ST, LW",74,79,24,167,Belgium
Adama Traoré,"RM, RW",76,76,29,179,Spain
M. Braunöder,"CM, CDM",69,76,23,174,Austria
T. Gulliksen,"CAM, LM, CM",72,78,21,177,Norway
Andrés Martín,"RM, LM, RW",74,75,25,178,Spain
R. Yaremchuk,ST,74,74,29,193,Ukraine
C. Witzig,"CM, CAM, RW",70,76,24,178,Switzerland
W. Smallbone,"CM, CAM",72,76,25,183,Republic of Ireland
Luimo Boas Santos,ST,79,79,25,176,Brazil
P. Hellebrand,"CM, CDM",70,72,26,180,Czechia
C. Ünder,"RW, RM",76,76,27,173,Turkiye
M. Marin,"CM, CDM",69,70,26,180,Romania
J. O'Shea,"CM, CDM, CAM",68,68,36,183,Republic of Ireland
Cristian Gutiérrez,"LB, LM",70,77,24,177,Spain
E. Nwaneri,"RW, CM, RM",76,87,18,176,England
Heitorsinho Padilha,"LB, LM",74,74,29,182,Brazil
J. Dompé,"LW, LM",75,75,29,170,France
N. Mendy,"CDM, CM",73,73,33,168,Senegal
M. Batshuayi,ST,77,77,31,185,Belgium
T. Leoni,"CM, CDM, CAM",72,76,25,174,Belgium
Altimira,"CDM, CM",77,83,23,188,Spain
A. Arslan,"CAM, CM, ST",68,68,31,180,Germany
S. Dahl,"LB, LM",73,82,22,171,Sweden
Ki Sung Yueng,"CM, CDM",70,70,36,189,Korea Republic
L. Gooch,"RB, LB, LM, RM",68,68,29,173,United States
M. Cafaro,"LM, RM, LW",73,73,28,178,France
K. Matsuki,"CM, CAM, ST",67,77,22,180,Japan
B. Ocampo,"LM, LW",70,71,26,175,Uruguay
Gorosabel,"RB, RM",77,77,28,174,Spain
T. Mohr,"LM, LB, LW",69,69,29,182,Germany
Andy,"CM, CDM",68,68,35,185,Spain
Rômulo,"ST, LW, CAM",76,82,23,193,Brazil
A. Matusiwa,"CDM, CM, CB",76,78,27,173,Netherlands
M. Lanzini,"CAM, LW, CM",74,74,32,170,Argentina
L. Blanco,"LB, LM",75,78,26,176,Argentina
Fábio Ronaldo,"LW, LM, LB",68,71,24,178,Portugal
D. Bocanegra,CB,71,71,38,182,Colombia
K. Doumbia,"CAM, CM",74,80,22,170,Mali
H. Picard,"LM, LW",71,79,22,168,France
T. Antalyalı,"CM, CDM",69,69,30,180,Turkiye
Bremer,CB,85,86,28,187,Brazil
L. Sernicola,"LB, LM",73,73,28,188,Italy
E. Leopold,"CM, CDM",73,77,24,174,Germany
B. Borrello,"ST, RM, CAM",70,70,29,178,Australia
G. Konstantelias,"CAM, RW, CM",77,84,22,178,Greece
Jailson Caeiro,"RB, RM",75,75,29,177,Brazil
A. Miranchuk,"CAM, CM, LW",78,78,29,182,Russia
B. Davies,CB,75,75,32,181,Wales
M. Ilaimaharitra,"CDM, CM",71,71,29,177,Madagascar
A. Kendouci,"CM, RW, CAM",71,74,26,176,Algeria
Flavio,"CM, CDM, CB",71,71,29,177,Brazil
N. Casale,CB,75,77,27,191,Italy
Francisco Conceição,"CAM, RM, RW, CM",79,86,22,168,Portugal
B. Alhassan,"CM, CDM, CB",65,69,25,187,Ghana
Guilherme Madruga,"CDM, CM, CAM",69,73,24,187,Brazil
Héctor Bellerín,"RB, RM",74,74,30,178,Spain
Jenaro Kaio,"CAM, CM",72,72,37,174,Brazil
Brahim,"RM, LM, CAM, RW",82,83,25,170,Morocco
S. Araujo,"ST, CAM",69,69,33,180,Argentina
P. Šulc,"CAM, LM, RM, CM",77,80,24,175,Czechia
S. Sosa,"CB, CDM",76,79,26,182,Argentina
Anselmo,"CM, CAM, CDM",69,69,36,182,Brazil
A. Kalik,"CAM, CM, ST",68,68,27,180,Australia
Diego López,"LM, RM, LW",78,86,23,172,Spain
J. Tymon,"LB, LM",70,73,26,180,England
R. Falk,"CM, CDM",72,72,33,177,Denmark
J. Justin,"RB, LB, LM",74,75,27,183,England
E. Bohinen,"CM, CDM",69,72,26,189,Norway
B. Krasniqi,"CM, CAM, CDM",68,75,24,173,Kosovo
Y. Aït Bennasser,"CDM, CM, CB",70,70,28,184,Morocco
S. Chukwueze,"RM, RW",80,80,26,172,Nigeria
S. Bastien,"CM, CDM",67,67,28,175,Congo DR
K. Mbabu,"RB, RM",73,73,30,184,Switzerland
A. Martegani,"CM, CAM",70,75,25,182,Argentina
A. Santamaría,CB,71,71,33,184,Peru
A. Hickey,"RB, RM",74,79,23,185,Scotland
Bruno Lamas,"CM, ST, CAM, CDM",68,68,31,178,Brazil
T. Chery,"CAM, RM, CM",74,74,37,171,Suriname
Fali Candé,CB,71,73,27,184,Guinea-Bissau
A. Maxim,"CAM, CM, LM",76,76,34,177,Romania
N. Besara,"CAM, ST, CM",73,73,34,182,Sweden
J. Karlsson,"LM, LW",75,75,26,179,Sweden
M. Wöber,"CB, LB",75,76,27,188,Austria
L. Janson,"LM, ST, LW",71,71,30,170,Argentina
N. Rodríguez,"RB, LB, CM, RM",68,68,33,183,Uruguay
O. Doumbia,"CDM, CM, CB",70,70,33,175,Côte d'Ivoire
N. Ioannou,"LB, LM",71,71,29,183,Cyprus
A. Sâyoud,"RM, ST, CAM, RW",75,75,34,171,Algeria
F. Rieder,"CAM, CM, RM",74,82,23,179,Switzerland
A. Hjulsager,"CAM, LM, CM",68,68,30,175,Denmark
P. Galdames,"CM, CDM, CAM",69,69,28,175,Chile
C. Lukeba,"CB, LB",80,88,22,183,France
N. Schmidt,"CM, CAM, CDM",72,73,27,184,Germany
D. Brooks,"RM, RW",75,75,27,178,Wales
J. Swift,"CAM, CM, CDM",70,70,30,182,England
F. Depaoli,"RB, RM",71,71,28,182,Italy
Simão Acunha,"CAM, RW, CM",76,76,33,178,Brazil
M. O'Hara,CM,68,68,29,188,Scotland
C. Espinoza,"RM, RW",75,75,30,173,Argentina
J. Hato,"LB, CB",78,89,19,182,Netherlands
J. Alcívar,"CDM, CM, LM",68,73,25,168,Ecuador
D. Martínez,"RB, RM",69,69,35,180,Argentina
K. Fujimoto,"CAM, CM",74,77,26,176,Japan
A. Muja,"LM, RM, RW, LW",71,72,26,179,Albania
F. Potts,"CDM, CM",70,80,21,183,England
L. Balerdi,CB,81,84,26,187,Argentina
T. Anjorin,"CM, CAM",68,75,23,185,England
J. Archimbaud,"CM, CDM, CB",69,69,30,181,Peru
V. Marchetti,"CM, CDM, CB",70,70,27,178,France
Paulinho,"LB, LM",69,69,30,178,Brazil
S. Parekh,"CM, CDM",58,58,29,183,India
J. Vergés,"CAM, ST, CM",70,70,33,169,Uruguay
F. Cornejo,"CM, CDM, CAM",70,70,29,174,Chile
D. Batallini,"RM, LM, RW",71,71,29,176,Argentina
M. Boyle,"ST, RM, RW",71,71,32,172,Australia
A. Witry,"RB, LB, RM",71,71,29,178,Norway
C. Oliva,"CDM, CM",72,72,29,178,Uruguay
Dela,"CB, RB",72,77,26,179,Spain
Toni Lato,"LB, LM",73,74,27,171,Spain
J. Livolant,"RW, LW, CAM, RM",70,70,27,175,France
J. Windass,"CAM, ST, RM, CM",72,72,31,176,England
G. Tutino,"ST, CAM",72,72,28,177,Italy
D. Turnbull,"CM, CDM, CAM",70,73,25,185,Scotland
T. Chancalay,"LM, RM, LW",73,74,26,179,Argentina
P. Ng,"RB, CB, RM",72,72,29,180,England
Leonai,"CDM, CM",68,68,30,176,Brazil
S. Birindelli,"RB, RM",74,77,25,175,Italy
M. Samoise,"RB, RM",70,75,23,180,Belgium
J. Ondrejka,"LM, LW",73,82,22,180,Sweden
M. Siopis,"CDM, CM",74,74,31,168,Greece
M. Hamzi,"CDM, CM, RM, RW",68,68,33,173,Saudi Arabia
K. Paal,"LB, LM",69,69,28,175,Suriname
O. Zmrzlý,"LM, CM, LW",69,69,26,185,Czechia
Josan,"RM, RB, RW",72,72,35,175,Spain
Douglas Armeira,"RB, RM",74,74,29,174,Brazil
B. Kutlu,"CDM, CM, LB",73,74,27,186,Turkiye
F. Jensen,"CAM, CM, RM",72,72,27,183,Finland
M. Taferner,"CM, CAM",69,74,24,170,Austria
V. Birmančević,"RW, LW, ST, RM",76,76,27,179,Serbia
A. Francis,"CM, CDM",68,74,24,184,Ghana
G. Berggren,CM,72,72,27,187,Sweden
D. Heymans,"CAM, CM",71,74,26,186,Belgium
P. Koopmeiners,"CDM, CM",74,79,25,186,Netherlands
A. Partipilo,"ST, RM, RW, CAM",71,71,30,181,Italy
D. Šarić,"CM, CDM, CAM",67,67,28,180,Bosnia and Herzegovina
F. Castro,"CM, CDM",70,70,33,178,Colombia
A. Borza,"LB, LM, LW",70,79,19,183,Romania
B. Slisz,"CDM, CM",73,76,26,179,Poland
J. Leweling,"RM, RW, LM",75,80,24,185,Germany
L. Sánchez,"LB, RB, LM",69,69,31,169,Argentina
M. Šín,"CAM, RM, CM",74,83,21,180,Czechia
J. Fazzini,"CAM, CM",72,81,22,178,Italy
A. Deiola,"CM, CDM",68,68,29,188,Italy
M. Simakan,"CB, RB",81,86,25,187,France
A. Armstrong,ST,73,73,28,172,England
T. Skarke,"ST, RM, CAM",73,73,28,181,Germany
B. Spittal,"LM, CM, CAM, LW",69,69,29,184,Scotland
F. Ioannidis,ST,77,80,25,186,Greece
P. Förster,"CAM, CM",69,69,30,188,Germany
D. González,"CM, CAM, CDM",70,70,37,178,Argentina
C. Eriksen,"CM, CDM, CAM",76,76,33,182,Denmark
Areso,"RB, RM",76,79,25,182,Spain
A. Trondsen,"LB, CM, LM",65,65,30,183,Norway
Wu Lei,"RM, ST, RW",71,71,33,176,China PR
J. Bijol,CB,77,79,26,190,Slovenia
